:START_ID,TYPE,:END_ID
mcro_jonatasgrosmanwav2vec2largexlsr53dutch,mcro_hasModelArchitecture,mcro_jonatasgrosmanwav2vec2largexlsr53dutch-ModelArchitecture
mcro_bertbasechinese,mcro_hasUseCase,mcro_bertbasechinese-UseCaseSection
mcro_pyannotesegmentation30,mcro_hasOutputFormat,mcro_pyannotesegmentation30-OutputFormat
mcro_opt-125m,mcro_hasConsideration,mcro_opt-125m-Consideration
mcro_gpt2,mcro_hasTrainingData,mcro_gpt2-TrainingData
mcro_pyannotesegmentation30,mcro_hasCitation,mcro_pyannotesegmentation30-Citation2
mcro_distilgpt2-ModelDetail,mcro_hasLicense,mcro_distilgpt2-License
mcro_visiontransformerbase,mcro_hasIntendedUseCase,mcro_visiontransformerbase-IntendedUseCase
mcro_clip-ModelDetailSection,mcro_hasReference,mcro_clip-ReferenceInformationSection
mcro_chronosboltsmall,mcro_hasCitation,mcro_chronosboltsmall-Citation
mcro_stablediffusioninpaintingmodelcard,mcro_hasModelDetail,mcro_stablediffusioninpaintingmodelcard-ModelDetail
mcro_clip-ModelDetailSection,mcro_hasModelArchitectureInformation,mcro_clip-ModelArchitectureInformationSection
mcro_llama32-parameter,mcro_hasTrainingData,mcro_llama32-trainingdata
mcro_facebookdinov2small-ModelDetail,mcro_hasCitation,mcro_facebookdinov2small-Citation
mcro_mobilenetv3small100lambin1k,mcro_hasModelParameter,mcro_mobilenetv3small100lambin1k-ModelParameter
mcro_llama318BInstructGGUF-ModelDetail,mcro_hasModelArchitecture,mcro_llama318BInstructGGUF-Architecture
mcro_llama32-modelDetail,mcro_hasModelArchitecture,mcro_llama32-architecture
mcro_clip-UseCaseInformationSection,mcro_hasPrimaryIntendedUseCaseInformation,mcro_clip-PrimaryIntendedUseCaseInformationSection
mcro_t5base,mcro_hasQuantativeAnalysis,mcro_t5base-Evaluation
mcro_jonatasgrosmanwav2vec2largexlsr53russian,mcro_hasModelArchitecture,mcro_jonatasgrosmanwav2vec2largexlsr53russian-Architecture
mcro_opt-125m-ModelDetail,mcro_hasLicense,mcro_opt-125m-License
mcro_albertbasev2,mcro_hasTrainingData,mcro_albertbasev2-TrainingData
mcro_llama318BInstructGGUF,mcro_hasIntendedUse,mcro_llama318BInstructGGUF-IntendedUse
mcro_Salesforceblipimagecaptioninglarge,mcro_hasCitation,mcro_Salesforceblipimagecaptioninglarge-Citation
mcro_chronosboltbase,mcro_hasLicense,mcro_chronosboltbase-License
mcro_YOLOv8DetectionModel,mcro_hasModelArchitecture,mcro_YOLOv8DetectionModel-ModelArchitectureInformationSection
mcro_distilbertbasemultilingualcased,mcro_hasCitation,mcro_distilbertbasemultilingualcased-CitationInformationSection
mcro_CLIPViTB16LAION2B,mcro_hasUseCase,mcro_CLIPViTB16LAION2B-UseCaseInfo
mcro_efficientnet_b3ra2in1k,mcro_hasCitation,mcro_efficientnet_b3ra2in1k-Citation-1
mcro_sdxl10base,mcro_hasConsideration,mcro_sdxl10base-Consideration
mcro_clipViTbigG14laion2B-ModelDetailSection,mcro_hasCitation,mcro_clipViTbigG14laion2B-CitationOpenAICLIP
mcro_distilbertbasemultilingualcased,mcro_hasLicense,mcro_distilbertbasemultilingualcased-LicenseInformationSection
mcro_clipvitlargepatch14336,mcro_hasModelArchitecture,mcro_clipvitlargepatch14336-ModelArchitectureInformationSection
mcro_YOLOv8DetectionModel,mcro_hasDataset,mcro_YOLOv8DetectionModel-DatasetInformationSection
mcro_bertbasechinese,mcro_hasModelParameter,mcro_bertbasechinese-ModelParameterSection
mcro_sdxl10base-ModelDetail,mcro_hasLicense,mcro_sdxl10base-License
mcro_sentencetransformersparaphraseMiniLML6v2,mcro_hasCitation,mcro_sentencetransformersparaphraseMiniLML6v2-Citation
mcro_jonatasgrosmanwav2vec2largexlsr53russian,mcro_hasIntendedUseCase,mcro_jonatasgrosmanwav2vec2largexlsr53russian-UseCase
mcro_efficientnet_b3ra2in1k,mcro_hasDataset,mcro_efficientnet_b3ra2in1k-Dataset
mcro_visiontransformerbase,mcro_hasTrainingData,mcro_visiontransformerbase-TrainingData
mcro_bertbasemodelcased-ModelDetail,mcro_hasLicense,mcro_bertbasemodelcased-License
mcro_facebookbartbase,mcro_hasUseCase,mcro_facebookbartbase-UseCase
mcro_sdxl10base,mcro_hasModelDetail,mcro_sdxl10base-ModelDetail
mcro_bartlargemnli,mcro_hasModelArchitecture,mcro_BART
mcro_robertalargemodel,mcro_hasIntendedUseCase,mcro_robertalargemodel-UseCase
mcro_tabletransformer,mcro_hasUseCase,mcro_tabletransformer-UseCase
mcro_facebookbartbase,mcro_hasModelDetail,mcro_facebookbartbase-ModelDetail
mcro_clip,mcro_hasConsiderationInformation,mcro_clip-ConsiderationInformationSection
mcro_sentencetransformersparaphrasemultilingualmpnetbasv2,mcro_hasIntendedUseCase,mcro_sentencetransformersparaphrasemultilingualmpnetbasv2-UseCase
mcro_distilgpt2,mcro_hasLimitation,mcro_distilgpt2-Limitation
mcro_electramodel,mcro_hasCitation,mcro_electramodel-Citation
mcro_visiontransformerbase-ModelDetail,mcro_hasLicense,mcro_visiontransformerbase-License
mcro_t5base,mcro_hasLicense,mcro_t5base-License
mcro_clinicalBERT-Bio+ClinicalBERTModel,mcro_hasCitation,mcro_clinicalBERT-Bio+ClinicalBERTModel-CitationInfo
mcro_allMiniLML12v2,mcro_hasTrainingData,mcro_allMiniLML12v2-TrainingDataInformationSection
mcro_FlagEmbedding,mcro_hasLicense,mcro_FlagEmbedding-LicenseInformationSection
mcro_t5base,mcro_hasConsideration,mcro_t5base-BiasRisksLimitations
mcro_chronosboltbase,mcro_hasModelArchitecture,mcro_chronosboltbase-ModelArchitecture
mcro_t5small-ModelDetails,mcro_hasCitation,mcro_t5small-Citation
mcro_resnet18a1in1k-ModelDetail,mcro_hasCitation,mcro_resnet18a1in1k-Citation
mcro_CLIPViTB16LAION2B,mcro_hasDataset,mcro_CLIPViTB16LAION2B-DatasetInfo
mcro_clip,mcro_hasCitation,mcro_clip-CitationInformationSection
mcro_gemma3-ModelParameterSection,mcro_hasDataset,mcro_gemma3-DatasetSection
mcro_llama32,mcro_hasModelDetail,mcro_llama32-modelDetail
mcro_XLMROBERTaModel,mcro_hasIntendedUseCase,mcro_XLMROBERTaModel-IntendedUseCase
mcro_Qwen25VL7BInstruct,mcro_hasIntendedUseCase,mcro_Qwen25VL7BInstruct-IntendedUseCase
mcro_jonatasgrosmanwav2vec2largexlsr53russian,mcro_hasDataset,mcro_jonatasgrosmanwav2vec2largexlsr53russian-Dataset
mcro_clipViTbigG14laion2B-ModelDetailSection,mcro_hasCitation,mcro_clipViTbigG14laion2B-CitationLAION
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasModelArchitecture,mcro_pyannotewespeakervoxcelebresnet34LM-ModelArchitecture
mcro_distilbertbasemodeluncased,mcro_hasModelDetail,mcro_distilbertbasemodeluncased-ModelDetailSection
mcro_RoBERTa_base_model,mcro_hasTrainingData,mcro_RoBERTa_base_model-DatasetInformationSection
mcro_distilbertbasemultilingualcased,mcro_hasModelArchitecture,mcro_distilbertbasemultilingualcased-ModelArchitectureInformationSection
mcro_Salesforceblipimagecaptioninglarge,mcro_hasIntendedUseCase,mcro_Salesforceblipimagecaptioninglarge-IntendedUseCase
mcro_fashionclip-ModelDetail,mcro_hasModelArchitecture,mcro_fashionclip-Architecture
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasDataset,mcro_mobilenetv3small100lambin1k-Dataset
mcro_bertbasechinese-ModelDetailSection,mcro_hasLicense,mcro_bertbasechinese-License
mcro_RoBERTa_base_model,mcro_hasModelArchitecture,mcro_RoBERTa_base_model-ModelArchitectureInformationSection
mcro_metaLlama31-ModelDetail,mcro_hasLicense,mcro_metaLlama31-License
mcro_resnet18a1in1k,mcro_hasDataset,mcro_resnet18a1in1k-Dataset
mcro_Qwen2505BInstruct,mcro_hasModelArchitecture,mcro_Qwen2505BInstruct-Architecture
mcro_siglipso400mpatch14384-ModelDetail,mcro_hasModelArchitecture,mcro_siglipso400mpatch14384-Architecture
mcro_ESMFold,mcro_hasModelArchitecture,mcro_ESMFold-ModelArchitecture
mcro_TheBlokephi2GGUF,mcro_hasIntendedUseCase,mcro_TheBlokephi2GGUF-IntendedUseCase
mcro_electramodel,mcro_hasUseCase,mcro_electramodel-UseCase
mcro_bertbasechinese,mcro_hasConsideration,mcro_bertbasechinese-ConsiderationSection
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasCitation,mcro_pyannotewespeakervoxcelebresnet34LM-Citation2
mcro_tabletransformer-ModelDetail,mcro_hasModelArchitecture,mcro_tabletransformer-ModelArchitecture
mcro_Salesforceblipbootstrapping,mcro_hasIntendedUseCase,mcro_Salesforceblipbootstrapping-UseCase
mcro_sdxl10base-Consideration,mcro_hasRisk,mcro_sdxl10base-Risk
mcro_pyannotesegmentation30,mcro_hasInputFormat,mcro_pyannotesegmentation30-InputFormat
mcro_t5small,mcro_hasModelDetail,mcro_t5small-ModelDetails
mcro_sentencetransformersparaphrasemultilingualmpnetbasv2,mcro_hasCitation,mcro_sentencetransformersparaphrasemultilingualmpnetbasv2-Citation
mcro_facebookdinov2small-ModelDetail,mcro_hasArchitecture,mcro_facebookdinov2small-Architecture
mcro_bertbasechinese,mcro_hasQuantativeAnalysis,mcro_bertbasechinese-QuantativeAnalysisSection
mcro_CLIPViTB16LAION2B,mcro_hasModelArchitecture,mcro_CLIPViTB16LAION2B-ModelArch
mcro_Falconsainsfwimagedetection,mcro_hasReference,mcro_Falconsainsfwimagedetection-Reference
mcro_t5small-ModelDetails,mcro_hasArchitecture,mcro_t5small-Architecture
mcro_bertmultilingualbasemodeluncased,mcro_hasModelArchitecture,mcro_bertmultilingualbasemodeluncased-ModelArchitecture
mcro_gemma3,mcro_hasModelDetail,mcro_gemma3-ModelDetailSection
mcro_sentencetransformersparaphrasemultilingualmpnetbasv2,mcro_hasModelArchitecture,mcro_sentencetransformersparaphrasemultilingualmpnetbasv2-ModelArchitecture
mcro_llama32,mcro_hasUseCase,mcro_llama32-usecase
mcro_clip,mcro_hasDataset,mcro_clip-Dataset
mcro_resnet18a1in1k,mcro_hasModelDetail,mcro_resnet18a1in1k-ModelDetail
mcro_fashionclip,mcro_hasModelDetail,mcro_fashionclip-ModelDetail
mcro_bartlargecnn,mcro_hasUseCase,mcro_bartlargecnn-UseCase
mcro_facebookbartbase-ModelDetail,mcro_hasModelArchitecture,mcro_facebookbartbase-ModelArchitecture
mcro_siglipso400mpatch14384,mcro_hasModelParameter,mcro_siglipso400mpatch14384-Parameter
mcro_jinaaijinaembeddingsv3,mcro_hasLicense,mcro_jinaaijinaembeddingsv3-LicenseInformationSection
mcro_resnet50a1in1k,mcro_hasDataset,mcro_resnet50a1in1k-Dataset
mcro_gemma3,mcro_hasModelCardReport,mcro_gemma3-ModelCardReport
mcro_jonatasgrosmanwav2vec2largexlsr53dutch,mcro_hasCitation,mcro_jonatasgrosmanwav2vec2largexlsr53dutch-Citation
mcro_resnet50a1in1k-ModelDetail,mcro_hasModelArchitecture,mcro_resnet50a1in1k-ModelArchitecture
mcro_twitterrobertabasesentiment,mcro_hasDataset,mcro_twitterrobertabasesentiment-Dataset
mcro_opt-125m-ModelDetail,mcro_hasCitation,mcro_opt-125m-Citation
mcro_stablediffusionv15modelcard,mcro_hasIntendedUseCase,mcro_stablediffusionv15modelcard-IntendedUseCase
mcro_metaLlama31,mcro_hasUseCase,mcro_metaLlama31-UseCase
mcro_llama32-modelDetail,mcro_hasLicense,mcro_llama32-license
mcro_XLMrobertalargeModel,mcro_hasModelArchitecture,mcro_XLMrobertalargeModel-Arch
mcro_distilbertbasemultilingualcased,mcro_hasUseCase,mcro_distilbertbasemultilingualcased-UseCaseInformationSection
mcro_XLMrobertalargeModel,mcro_hasCitation,mcro_XLMrobertalargeModel-Citation
mcro_forcedalignerwithhuggingfacectcmodels,mcro_hasIntendedUseCase,mcro_forcedalignerwithhuggingfacectcmodels-intendedusecase
mcro_bertmultilingualbasemodelcased,mcro_hasIntendedUseCase,mcro_bertmultilingualbasemodelcased-UseCase
mcro_jonatasgrosmanwav2vec2largexlsr53portuguese,mcro_hasModelArchitecture,mcro_jonatasgrosmanwav2vec2largexlsr53portuguese-Architecture
mcro_bertmultilingualbasemodelcased,mcro_hasCitation,mcro_bertmultilingualbasemodelcased-Citation2
mcro_flant5base-ModelDetail,mcro_hasLicense,mcro_flant5base-License
mcro_sentencetransformersparaphrasemultilingualMiniLML12v2,mcro_hasCitation,mcro_sentencetransformersparaphrasemultilingualMiniLML12v2-Citation
mcro_TheBlokephi2GGUF,mcro_hasDescription,mcro_TheBlokephi2GGUF-Description
mcro_bartlargemnli,mcro_hasIntendedUseCase,mcro_NLIbasedZeroShotTextClassification
mcro_bartlargemnli,mcro_hasCitation,mcro_facebookbartlargemnli-Citation2
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasCitation,mcro_pyannotewespeakervoxcelebresnet34LM-Citation1
mcro_vit-face-expression,mcro_hasDataset,mcro_vit-face-expression-Dataset
mcro_mobilenetv3small100lambin1k,mcro_hasUseCase,mcro_mobilenetv3small100lambin1k-UseCase
mcro_stablediffusionv15modelcard,mcro_hasModelArchitecture,mcro_stablediffusionv15modelcard-Architecture
mcro_distilgpt2,mcro_hasCitation,mcro_distilgpt2-Citation
mcro_distilgpt2-ModelDetail,mcro_hasArchitecture,mcro_distilgpt2-Architecture
mcro_flux1dev,mcro_hasUseCase,mcro_flux1dev-UseCase
mcro_tabletransformer,mcro_hasModelDetail,mcro_tabletransformer-ModelDetail
mcro_distilbertbasemodeluncased,mcro_hasLimitation,mcro_distilbertbasemodeluncased-LimitationInformationSection
mcro_llama32-usecase,mcro_hasOutOfScopeUseCase,mcro_llama32-outofscope
mcro_llama32,mcro_hasModelParameter,mcro_llama32-parameter
mcro_forcedalignerwithhuggingfacectcmodels,mcro_hasModelArchitecture,mcro_forcedalignerwithhuggingfacectcmodels-modelarchitecture
mcro_t5base,mcro_hasOwner,mcro_t5base-ModelCardAuthors
mcro_t5base,mcro_hasConsideration,mcro_t5base-EnvironmentalImpact
mcro_visiontransformerbase,mcro_hasCitation,mcro_visiontransformerbase-Citation3
mcro_vit-face-expression,mcro_hasModelArchitecture,mcro_vit-face-expression-ModelArchitecture
mcro_clip-UseCaseInformationSection,mcro_hasUser,mcro_clip-UserInformationSection
mcro_distilbertbaseuncasedfinetunedsst2english,mcro_hasModelParameter,mcro_distilbertbaseuncasedfinetunedsst2english-Training
mcro_Salesforceblipbootstrapping,mcro_hasDataset,mcro_cocoDataset
mcro_t5base,mcro_hasModelParameter,mcro_t5base-TrainingDetails
mcro_distilbertbasemodeluncased,mcro_hasIntendedUseCase,mcro_distilbertbasemodeluncased-UseCaseInformationSection
mcro_opt-125m-ModelDetail,mcro_hasModelArchitecture,mcro_opt-125m-ModelArchitecture
mcro_clip,mcro_hasUseCase,mcro_clip-UseCase
mcro_BGE-M3,mcro_hasModelArchitecture,mcro_BGE-M3-Architecture
mcro_XLMROBERTaModel,mcro_hasModelArchitecture,mcro_XLMROBERTaModel-ModelArchitecture
mcro_visiontransformerbase,mcro_hasCitation,mcro_visiontransformerbase-Citation1
mcro_sentencetransformersparaphraseMiniLML6v2,mcro_hasModelArchitecture,mcro_sentencetransformersparaphraseMiniLML6v2-ModelArchitecture
mcro_distilgpt2,mcro_hasTrainingProcedure,mcro_distilgpt2-TrainingProcedure
mcro_clip-UseCase,mcro_hasPrimaryIntendedUseCase,mcro_clip-PrimaryIntendedUseCase
mcro_chronosboltbase,mcro_hasCitation,mcro_chronosboltbase-Citation
mcro_facebookbartbase-ModelDetail,mcro_hasCitation,mcro_facebookbartbase-Citation
mcro_whisper,mcro_hasTrainingData,mcro_whisper-TrainingData
mcro_jonatasgrosmanwav2vec2largexlsr53portuguese,mcro_hasDataset,mcro_jonatasgrosmanwav2vec2largexlsr53portuguese-Dataset
mcro_jonatasgrosmanwav2vec2largexlsr53dutch,mcro_hasDataset,mcro_jonatasgrosmanwav2vec2largexlsr53dutch-Dataset2
mcro_albertbasev2-ModelDetail,mcro_hasArchitecture,mcro_albertbasev2-Architecture
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasLicense,mcro_pyannotewespeakervoxcelebresnet34LM-License
mcro_pyannotesegmentation30,mcro_hasCitation,mcro_pyannotesegmentation30-Citation1
mcro_visiontransformerbase,mcro_hasModelParameter,mcro_visiontransformerbase-ModelParameter
mcro_stablediffusionv15modelcard,mcro_hasLicense,mcro_stablediffusionv15modelcard-License
mcro_TheBlokephi2GGUF,mcro_hasLicense,mcro_TheBlokephi2GGUF-License
mcro_distilbertbasemultilingualcased,mcro_hasLimitation,mcro_distilbertbasemultilingualcased-LimitationInformationSection
mcro_opt-125m,mcro_hasModelParameter,mcro_opt-125m-ModelParameter
mcro_esm2,mcro_hasCitation,mcro_esm2-Citation
mcro_bertbasechinese,mcro_hasModelDetail,mcro_bertbasechinese-ModelDetailSection
mcro_opt-125m,mcro_hasDataset,mcro_opt-125m-Dataset
mcro_YOLOv8DetectionModel,mcro_hasUseCase,mcro_YOLOv8DetectionModel-UseCaseInformationSection
mcro_bartlargemnli,mcro_hasCitation,mcro_bartlargemnli-Citation
mcro_distilgpt2,mcro_hasEvaluationResult,mcro_distilgpt2-EvaluationResult
mcro_stablediffusioninpaintingmodelcard,mcro_hasTrainingData,mcro_stablediffusioninpaintingmodelcard-TrainingData
mcro_sentencetransformersusecmlmmultilingual,mcro_hasCitation,mcro_sentencetransformersusecmlmmultilingual-Citation
mcro_RoBERTa_base_model,mcro_hasIntendedUseCase,mcro_RoBERTa_base_model-UseCaseInformationSection
mcro_clip-UseCaseInformationSection,mcro_hasOutofScopeUseCaseInformation,mcro_clip-OutofScopeUseCaseInformationSection
mcro_tabletransformer-ModelDetail,mcro_hasCitation,mcro_tabletransformer-Citation
mcro_allMiniLML6v2,mcro_hasUseCaseInformationSection,mcro_allMiniLML6v2-UseCaseInformationSection
mcro_bertbasemodeluncased-ModelDetail,mcro_hasModelArchitecture,mcro_bertbasemodeluncased-Architecture
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasModelArchitecture,mcro_mobilenetv3small100lambin1k-ModelArchitecture
mcro_bertmultilingualbasemodeluncased,mcro_hasIntendedUseCase,mcro_bertmultilingualbasemodeluncased-IntendedUseCase
mcro_mixedbreadaimxbaiembedlargev1,mcro_hasCitation,mcro_mixedbreadaimxbaiembedlargev1-Citation2
mcro_distilbertbasemodeluncased,mcro_hasTrainingData,mcro_distilbertbasemodeluncased-TrainingDataInformationSection
mcro_multilinguale5small,mcro_hasTrainingData,mcro_multilinguale5small-TrainingDataInformationSection
mcro_Qwen257BInstruct,mcro_hasArchitecture,mcro_Qwen257BInstruct-Architecture
mcro_twitterrobertabasesentiment,mcro_hasCitation,mcro_twitterrobertabasesentiment-Citation
mcro_resnet50a1in1k-ModelDetail,mcro_hasCitation,mcro_resnet50a1in1k-Citation
mcro_unik3d,mcro_hasDocumentation,mcro_unik3d-Documentation
mcro_gpt2,mcro_hasUseCase,mcro_gpt2-UseCase
mcro_jonatasgrosmanwav2vec2largexlsr53dutch,mcro_hasDataset,mcro_jonatasgrosmanwav2vec2largexlsr53dutch-Dataset
mcro_jinaaijinaembeddingsv3,mcro_hasCitation,mcro_jinaaijinaembeddingsv3-CitationInformationSection
mcro_bertbasemodeluncased-Consideration,mcro_hasLimitation,mcro_bertbasemodeluncased-Limitation
mcro_distilbertbaseuncasedfinetunedsst2english-ModelDetail,mcro_hasLicense,mcro_distilbertbaseuncasedfinetunedsst2english-License
mcro_whisperlargev3turbo,mcro_hasCitation,mcro_whisperlargev3turbo-Citation
mcro_jonatasgrosmanwav2vec2largexlsr53portuguese,mcro_hasIntendedUseCase,mcro_jonatasgrosmanwav2vec2largexlsr53portuguese-UseCase
mcro_bertbasemodelcased,mcro_hasConsideration,mcro_bertbasemodelcased-Consideration
mcro_mobilenetv3small100lambin1k-ModelDetail,mcro_hasCitation,mcro_mobilenetv3small100lambin1k-Citation
mcro_esm2,mcro_hasIntendedUseCase,mcro_esm2-UseCase
mcro_resnet50a1in1k,mcro_hasModelDetail,mcro_resnet50a1in1k-ModelDetail
mcro_vit-face-expression,mcro_hasLimitation,mcro_vit-face-expression-Limitation
mcro_Salesforceblipimagecaptioninglarge,mcro_hasModelArchitecture,mcro_Salesforceblipimagecaptioninglarge-Architecture
mcro_Qwen25VL7BInstruct,mcro_hasDataset,mcro_Qwen25VL7BInstruct-Dataset
mcro_Qwen25VL7BInstruct,mcro_hasCitation,mcro_Qwen25VL7BInstruct-Citation
mcro_clip,mcro_hasQuantativeAnalysis,mcro_clip-QuantativeAnalysis
mcro_efficientnet_b3ra2in1k,mcro_hasModelArchitecture,mcro_efficientnet_b3ra2in1k-ModelArchitecture
mcro_jonatasgrosmanwav2vec2largexlsr53chinesezhcn,mcro_hasIntendedUseCase,mcro_jonatasgrosmanwav2vec2largexlsr53chinesezhcn-UseCase
mcro_visiontransformerbase-ModelParameter,mcro_hasDataset,mcro_visiontransformerbase-Dataset
mcro_chronos-t5-small,mcro_hasCitation,mcro_chronos-t5-small-citation
mcro_albertbasev2,mcro_hasModelDetail,mcro_albertbasev2-ModelDetail
mcro_multilinguale5small,mcro_hasIntendedUseCase,mcro_multilinguale5small-IntendedUseCaseInformationSection
mcro_robertalargemodel,mcro_hasTrainingData,mcro_robertalargemodel-TrainingData
mcro_stablediffusioninpaintingmodelcard,mcro_hasEvaluationResult,mcro_stablediffusioninpaintingmodelcard-EvaluationResult
mcro_vitmatte-ModelDetail,mcro_hasModelArchitecture,mcro_vitmatte-ModelArchitecture
mcro_stablediffusioninpaintingmodelcard-ModelDetail,mcro_hasLicense,mcro_stablediffusioninpaintingmodelcard-License
mcro_visiontransformerbase-ModelDetail,mcro_hasCitation,mcro_visiontransformerbase-Citation
mcro_clip-QuantativeAnalysisSection,mcro_hasLimitation,mcro_clip-LimitationInformationSection
mcro_clip,mcro_hasLimitationInformation,mcro_clip-LimitationInformationSection
mcro_t5base,mcro_hasModelDetail,mcro_t5base-ModelDetails
mcro_Qwen2505BInstruct,mcro_hasModelParameter,mcro_Qwen2505BInstruct-Parameter
mcro_bertmultilingualbasemodelcased,mcro_hasTrainingProcedure,mcro_bertmultilingualbasemodelcased-TrainingProcedure
mcro_clipsegModel,mcro_hasIntendedUseCase,mcro_clipsegModel-UseCase
mcro_clipsegModel,mcro_hasCitation,mcro_clipsegModel-Citation
mcro_bertbasemodelcased-ModelDetail,mcro_hasCitation,mcro_bertbasemodelcased-Citation
mcro_distilbertbasemultilingualcased,mcro_hasQuantativeAnalysis,mcro_distilbertbasemultilingualcased-QuantativeAnalysisSection
mcro_BGE-M3,mcro_hasIntendedUseCase,mcro_BGE-M3-UseCase
mcro_bartlargemnli,mcro_hasDataset,mcro_MultiNLI
mcro_bertbasemodelcased,mcro_hasModelDetail,mcro_bertbasemodelcased-ModelDetail
mcro_ESMFold,mcro_hasCitation,mcro_ESMFold-Citation
mcro_clinicalBERT-Bio+ClinicalBERTModel,mcro_hasTrainingData,mcro_clinicalBERT-Bio+ClinicalBERTModel-TrainingDataInfo
mcro_flux1dev,mcro_hasModelArchitecture,mcro_flux1dev-ModelArchitecture
mcro_fashionclip-ModelDetail,mcro_hasCitation,mcro_fashionclip-Citation
mcro_visiontransformerbase,mcro_hasCitation,mcro_visiontransformerbase-Citation2
mcro_bertbasemodeluncased,mcro_hasConsideration,mcro_bertbasemodeluncased-Consideration
mcro_gpt2,mcro_hasConsideration,mcro_gpt2-Consideration
mcro_clip-ModelDetailSection,mcro_hasModelArchitecture,mcro_clip-ModelArchitectureInformationSection
mcro_llama318BInstructGGUF,mcro_hasDataset,mcro_llama318BInstructGGUF-Dataset
mcro_esm2,mcro_hasModelArchitecture,mcro_esm2-ModelArchitecture
mcro_chronosboltbase,mcro_hasUseCase,mcro_chronosboltbase-UseCase
mcro_XLMROBERTaModel,mcro_hasCitation,mcro_XLMROBERTaModel-Citation
mcro_whisper-ModelDetail,mcro_hasCitation,mcro_whisper-Citation
