:START_ID,TYPE,:END_ID
mcro_bertbasemodeluncased,mcro_hasTrainingData,mcro_bertbasemodeluncased-TrainingData
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-iiit5k
mcro_clip-ModelDetailSection,mcro_hasCitation,mcro_clip-CitationInformationSection
mcro_bertbasemodeluncased,mcro_hasTrainingProcedure,mcro_bertbasemodeluncased-TrainingProcedure
mcro_pyannotewespeakervoxcelebresnet34LM,mcro_hasCitation,mcro_pyannotewespeakervoxcelebresnet34LM-Citation2
mcro_allmpnetbasev2,mcro_hasIntendedUseCase,mcro_allmpnetbasev2-UseCase
mcro_clipmodel-usecase,mcro_hasPrimaryIntendedUse,mcro_clipmodel-primaryuse
mcro_clip,mcro_hasModelDetail,mcro_clip-ModelDetailSection
mcro_pyannotesegmentation30,mcro_hasCitation,mcro_pyannotesegmentation30-Citation2
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-mnist
mcro_gpt2,mcro_hasConsideration,mcro_gpt2-ConsiderationInformationSection
mcro_resnet50a1in1k-ModelDetail,mcro_hasModelArchitecture,mcro_resnet50a1in1k-Architecture
mcro_chronos-t5-small,mcro_hasLicense,mcro_chronos-t5-small-License
mcro_Phi2GGUF,mcro_hasConsideration,mcro_Phi2GGUF-ConsiderationSection
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-oxfordiiitpet
mcro_esmfold,mcro_hasCitation,mcro_esmfold-Citation
mcro_robertalargemodel,mcro_hasModelDetail,mcro_robertalargemodel-ModelDetail
mcro_esmfold,mcro_hasUseCase,mcro_esmfold-UseCase
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-stanfordcars
mcro_mobilenetv3small100lambin1k,mcro_hasModelDetail,mcro_mobilenetv3small100lambin1k-ModelDetail
mcro_allmpnetbasev2,mcro_hasTrainingData,mcro_allmpnetbasev2-TrainingData
mcro_clipmodel-performance,mcro_hasPerformanceMetric,mcro_clipmodel-performance-imageneta
mcro_robertalargemodel,mcro_hasTrainingData,mcro_robertalargemodel-TrainingData
mcro_resnet50a1in1k,mcro_hasDataset,mcro_resnet50a1in1k-Dataset
mcro_gpt2,mcro_hasTrainingProcedure,mcro_gpt2-TrainingProcedure
mcro_Falconsainsfwimagedetection,mcro_hasUseCase,mcro_Falconsainsfwimagedetection-UseCase
mcro_clipmodel,mcro_hasUseCase,mcro_clipmodel-usecase
