:START_ID,TYPE,:END_ID
mcro_siglipso400mpatch14384,mcro_hasModelDetail,mcro_siglipso400mpatch14384-ModelDetail
mcro_metallamaMetaLlama38B-ModelDetail,mcro_hasLicense,mcro_metallamaMetaLlama38B-License
mcro_roberta-baseforextractiveqa,mcro_hasModelDetail,mcro_roberta-baseforextractiveqa-ModelDetailSection
mcro_detrresnet50-ModelDetail,mcro_hasModelArchitecture,mcro_detrresnet50-ModelArchitecture
mcro_TheBlokephi2GGUF,mcro_hasDataset,mcro_TheBlokephi2GGUF-Dataset
mcro_upskyybgem3korean,mcro_hasModelDetails,mcro_upskyybgem3korean-ModelDetailSection
mcro_facebookmmslid256-ModelDetail,mcro_hasModelArchitecture,mcro_facebookmmslid256-ModelArchitecture
mcro_microsoftbeitlargepatch16224,mcro_hasModelDetail,mcro_microsoftbeitlargepatch16224-ModelDetail
mcro_debertav3basetasksourcenli,mcro_hasModelArchitecture,mcro_debertav3basetasksourcenli-Arch
mcro_mimi-ModelDetail,mcro_hasLicense,mcro_mimi-License
mcro_chronosboltbase,mcro_hasLicense,mcro_chronosboltbase-License
mcro_microsoftFlorence2base,mcro_hasModelDetail,mcro_microsoftFlorence2base-ModelDetail
mcro_albertbasev2,mcro_hasLimitation,mcro_albertbasev2-Limitation
mcro_metallamaLlama323BInstruct,mcro_hasIntendedUseCase,mcro_metallamaLlama323BInstruct-IntendedUseCase
mcro_jonatasgrosmanwav2vec2largexlsr53portuguese,mcro_hasUseCase,mcro_jonatasgrosmanwav2vec2largexlsr53portuguese-UseCaseInformationSection
mcro_crossencodermsmarcoTinyBERTL2v2,mcro_hasModelDetail,mcro_crossencodermsmarcoTinyBERTL2v2-ModelDetail
mcro_jonatasgrosmanwav2vec2largexlsr53arabic,mcro_hasCitation,mcro_jonatasgrosmanwav2vec2largexlsr53arabic-Citation
mcro_mistralaiMistral7BInstructv02,mcro_hasLimitation,mcro_mistralaiMistral7BInstructv02-Limitation
mcro_tabletransformerpretrainedfortablestructurerecognition,mcro_hasCitation,mcro_tabletransformerpretrainedfortablestructurerecognition-Citation
mcro_cambridgeltlSapBERTfromPubMedBERTfulltextmeantoken,mcro_hasModelArchitecture,mcro_cambridgeltlSapBERTfromPubMedBERTfulltextmeantoken-ModelArchitecture
mcro_pyannotesegmentation30-ModelDetail,mcro_hasCitation,mcro_pyannotesegmentation30-Citation
mcro_QwenQwen25VL3BInstruct,mcro_hasUseCase,mcro_QwenQwen25VL3BInstruct-UseCase
mcro_chronos-t5-tiny,mcro_hasUseCase,mcro_chronos-t5-tiny-UseCaseSection
mcro_bertmultilingualbasemodeluncased,mcro_hasModelArchitecture,mcro_bertmultilingualbasemodeluncased-ModelArchitecture
mcro_microsoftmdebertav3base,mcro_hasUseCase,mcro_microsoftmdebertav3base-UseCase
mcro_CLIPViTH14LAION2B,mcro_hasUseCaseInformationSection,mcro_CLIPViTH14LAION2B-UseCase
mcro_microsoftcodebertbasemlm,mcro_hasUseCase,mcro_microsoftcodebertbasemlm-UseCase
mcro_llavahfllavav16mistral7bhf,mcro_hasCitation,mcro_llavahfllavav16mistral7bhf-Citation2
mcro_BiomedParse,mcro_hasEthicalConsideration,mcro_BiomedParse-EthicalConsiderationSection
mcro_banglat5_banglaparaphrase,mcro_hasUseCase,mcro_banglat5_banglaparaphrase-UseCaseInformationSection
mcro_answerdotaiModernBERTbase,mcro_hasModelArchitecture,mcro_answerdotaiModernBERTbase-ModelArchitecture
mcro_convnextv2_nano.fcmae_ft_in22kin1k,mcro_hasUseCase,mcro_convnextv2_nano.fcmae_ft_in22kin1k-UseCase
mcro_answerdotaiModernBERTbase,mcro_hasUseCase,mcro_answerdotaiModernBERTbase-UseCase
mcro_intfloatmultilinguale5base,mcro_hasCitation,mcro_intfloatmultilinguale5base-CitationInformationSection
mcro_deepseekaiDeepSeekR1DistillQwen14B,mcro_hasCitation,mcro_deepseekaiDeepSeekR1DistillQwen14B-Citation
mcro_patrickjohncyhfashionclip-ModelDetail,mcro_hasArchitecture,mcro_patrickjohncyhfashionclip-Architecture
mcro_metaLlama31Instruct,mcro_hasLicense,mcro_metaLlama31Instruct-License
mcro_AudioSpectrogramTransformerfinetunedonAudioSet,mcro_hasModelArchitecture,mcro_AudioSpectrogramTransformerfinetunedonAudioSet-ModelArchitecture
mcro_googleelectrasmalldiscriminator,mcro_hasCitation,mcro_googleelectrasmalldiscriminator-Citation
mcro_lmstudiocommunityDeepSeekR10528Qwen38BMLX8bit-ModelDetail,mcro_hasCitation,mcro_lmstudiocommunityDeepSeekR10528Qwen38BMLX8bit-Citation
mcro_Whisperlargev2modelforCTranslate2,mcro_hasModelArchitecture,mcro_Whisperlargev2modelforCTranslate2-ModelArchitectureInformationSection
mcro_autogluonchronosboltbase-ModelDetail,mcro_hasLicense,mcro_autogluonchronosboltbase-License
mcro_stablediffusionv15modelcard,mcro_hasModelDetail,mcro_stablediffusionv15modelcard-ModelDetail
mcro_metallamaLlama3370BInstruct,mcro_hasModelDetail,mcro_metallamaLlama3370BInstruct-ModelDetail
mcro_Qwen257B,mcro_hasIntendedUseCase,mcro_Qwen257B-IntendedUseCase
mcro_gemma2,mcro_hasDataset,mcro_gemma2-Dataset
mcro_wav2vec2largerobustftlibri960h,mcro_hasModelArchitecture,mcro_wav2vec2largerobustftlibri960h-Architecture
mcro_BAAIbgesmallen,mcro_hasModelArchitecture,mcro_BAAIbgesmallen-ModelArchitectureInformationSection
mcro_ChatGLM2-6B,mcro_hasModelArchitecture,mcro_ChatGLM2-6B-Arch
mcro_deepseekaiDeepSeekR1,mcro_hasLicense,mcro_deepseekaiDeepSeekR1-LicenseInformationSection
mcro_wav2vec2-baseforemotionrecognition,mcro_hasModelArchitecture,mcro_wav2vec2-baseforemotionrecognition-ModelArchitectureInformationSection
mcro_crossencodermsmarcoTinyBERTL2v2,mcro_hasUseCase,mcro_crossencodermsmarcoTinyBERTL2v2-UseCase
mcro_QwenQwen2505BInstruct-ModelDetail,mcro_hasLicense,mcro_QwenQwen2505BInstruct-LicenseInformationSection
mcro_xclipbasesizedmodel,mcro_hasIntendedUseCase,mcro_xclipbasesizedmodel-UseCaseInformationSection
mcro_MoritzLaurerDeBERTa-v3-base-mnli-fever-anli,mcro_hasConsideration,mcro_MoritzLaurerDeBERTa-v3-base-mnli-fever-anli-Consideration
mcro_USERbgem3-ModelDetail,mcro_hasCitation,mcro_USERbgem3-Citation
mcro_efficientnet_b3.ra2_in1k-ModelDetail,mcro_hasModelArchitecture,mcro_efficientnet_b3.ra2_in1k-Arch
mcro_whisper-baseen,mcro_hasIntendedUseCase,mcro_whisper-baseen-IntendedUseCase
mcro_variousmodels,mcro_hasUseCase,mcro_variousmodels-UseCaseInformationSection
mcro_distilrobertabase,mcro_hasDataset,mcro_distilrobertabase-Dataset
mcro_sentencetransformersparaphrasemultilingualMiniLML12v2,mcro_hasCitation,mcro_sentencetransformersparaphrasemultilingualMiniLML12v2-CitationInformationSection
mcro_blackforestlabsFLUX1Filldev,mcro_hasModelDetail,mcro_blackforestlabsFLUX1Filldev-ModelDetail
mcro_nvidiatitanetlargeenus,mcro_hasUseCase,mcro_nvidiatitanetlargeenus-UseCaseInformationSection
mcro_distilbertbasemultilingualcased,mcro_hasTrainingParameter,mcro_distilbertbasemultilingualcased-TrainingParameter
mcro_autogluonchronosboltbase,mcro_hasModelArchitecture,mcro_autogluonchronosboltbase-ModelArchitecture
mcro_deepseekaiDeepSeekR1,mcro_hasModelArchitecture,mcro_deepseekaiDeepSeekR1-ModelArchitectureInformationSection
mcro_WDViTLargeTaggerV3,mcro_hasDataset,mcro_WDViTLargeTaggerV3-DatasetInformationSection
mcro_wav2vec2largexlsrhindi,mcro_hasDataset,mcro_wav2vec2largexlsrhindi-DatasetInformationSection
mcro_distilbertdistilbertbaseuncasedfinetunedsst2englis-ModelDetail,mcro_hasLicense,mcro_distilbertdistilbertbaseuncasedfinetunedsst2englis-License
mcro_Qwen2514BInstruct,mcro_hasModelArchitecture,mcro_Qwen2514BInstruct-ModelArchitecture
mcro_byt5small,mcro_hasModelDetail,mcro_byt5small-ModelDetail
mcro_timmViTB16SigLIPi18n256-ModelDetail,mcro_hasDataset,mcro_timmViTB16SigLIPi18n256-Dataset
mcro_Qwen2514BInstruct,mcro_hasCitation,mcro_Qwen2514BInstruct-Citation
mcro_sarvamaisarvamm,mcro_hasUseCase,mcro_sarvamaisarvamm-UseCase
mcro_conjunctsditre15,mcro_hasCitation,mcro_conjunctsditre15-Citation
mcro_sentencetransformersparaphrasexlmrmultilingualv1,mcro_hasModelArchitecture,mcro_sentencetransformersparaphrasexlmrmultilingualv1-ModelArchitectureInformationSection
mcro_WhereIsAIUAELargeV1,mcro_hasLicense,mcro_WhereIsAIUAELargeV1-License
mcro_clipvitlargepatch14-Consideration,mcro_hasLimitation,mcro_clipvitlargepatch14-Limitation
mcro_openaiclip-Dataset,mcro_hasTrainingData,mcro_openaiclip-TrainingData
mcro_mask2former,mcro_hasModelArchitecture,mcro_mask2former-ModelArchitectureInformationSection
mcro_sentencetransformersrobertabasenlimeantokens,mcro_hasUseCaseInformation,mcro_sentencetransformersrobertabasenlimeantokens-UseCaseInformationSection
mcro_detrresnet50,mcro_hasUseCase,mcro_detrresnet50-UseCase
mcro_jonatasgrosmanwav2vec2largexlsr53polish-ModelDetail,mcro_hasLicense,mcro_jonatasgrosmanwav2vec2largexlsr53polish-License
mcro_Stablediffusionsafetychecker,mcro_hasTechnicalSpecification,mcro_Stablediffusionsafetychecker-TechnicalSpecification
mcro_gte-large-ModelDetail,mcro_hasCitation,mcro_gte-large-Citation
mcro_Systranfasterwhispersmall,mcro_hasModelArchitecture,mcro_Systranfasterwhispersmall-ModelArchitecture
mcro_whisperbase-ModelDetail,mcro_hasCitation,mcro_whisperbase-Citation
mcro_Qwen257BInstruct,mcro_hasUseCase,mcro_Qwen257BInstruct-UseCaseInformationSection
mcro_NLLB200,mcro_hasUseCase,mcro_NLLB200-UseCase
mcro_vitbasepatch32clip448laion2bftin12kin1k-ModelDetail,mcro_hasDataset,mcro_vitbasepatch32clip448laion2bftin12kin1k-Dataset
mcro_BiomedParse,mcro_hasUseCase,mcro_BiomedParse-UseCaseInformationSection
mcro_crossencodernlidebertav3base-ModelDetail,mcro_hasDataset,mcro_crossencodernlidebertav3base-Dataset
mcro_banglat5_banglaparaphrase,mcro_hasCitation,mcro_banglat5_banglaparaphrase-CitationInformationSection
mcro_gemma2b-Consideration,mcro_hasUseCase,mcro_gemma2b-UseCase
mcro_gpt2-ModelDetail,mcro_hasModelArchitecture,mcro_gpt2-ModelArchitecture
mcro_conjunctsditre15,mcro_hasConsideration,mcro_conjunctsditre15-Consideration
mcro_BAAIbgem3,mcro_hasModelArchitecture,mcro_BAAIbgem3-ModelArchitecture
mcro_segformerb5finetunedade20k,mcro_hasUseCaseInformationSection,mcro_segformerb5finetunedade20k-UseCaseInformationSection
mcro_HuggingFaceH4zephyr7bbeta,mcro_hasCitation,mcro_HuggingFaceH4zephyr7bbeta-Citation
mcro_xlmrobertabaselanguagedetection-ModelDetail,mcro_hasModelArchitecture,mcro_xlmrobertabaselanguagedetection-ModelArchitecture
mcro_microsoftphi2,mcro_hasUseCaseInformation,mcro_microsoftphi2-UseCase
mcro_legalbertTheMuppetsStraightOutOfLawSchool,mcro_hasCitation,mcro_legalbertTheMuppetsStraightOutOfLawSchool-CitationInformationSection
mcro_stabilityaistablediffusion35medium,mcro_hasUseCase,mcro_stabilityaistablediffusion35medium-UseCase
mcro_autogluonchronosboltbase,mcro_hasUseCase,mcro_autogluonchronosboltbase-UseCase
mcro_facebookmusicgenmedium-IntendedUseCase,mcro_hasOutOfScopeUseCase,mcro_facebookmusicgenmedium-OutOfScopeUseCase
mcro_rorshark-vit-base,mcro_hasModelDetail,mcro_rorshark-vit-base-ModelDetail
mcro_llamaGuard38B,mcro_hasLimitation,mcro_llamaGuard38B-Limitation
mcro_facebookmusicgenmedium-ModelDetail,mcro_hasCitation,mcro_facebookmusicgenmedium-Citation
mcro_BRIA_Background_Removal_v14,mcro_hasModelArchitecture,mcro_BRIA_Background_Removal_v14-Architecture
mcro_microsoftdebertalargemnli,mcro_hasCitation,mcro_microsoftdebertalargemnli-Citation
mcro_Inteldptlarge,mcro_hasCitation,mcro_Inteldptlarge-Citation
mcro_testModel,mcro_hasLicense,mcro_testModel-LicenseInformationSection
mcro_timmViTB16SigLIPi18n256,mcro_hasModelDetail,mcro_timmViTB16SigLIPi18n256-ModelDetail
mcro_llama32CollectionOfMultilingualLlLMs,mcro_hasLicense,mcro_llama32CollectionOfMultilingualLlLMs-License
mcro_Qwen257BInstruct1M,mcro_hasUseCase,mcro_Qwen257BInstruct1M-UseCase
mcro_allrobertalargev1,mcro_hasTrainingData,mcro_allrobertalargev1-TrainingDataInformationSection
mcro_ChatGLM2-6B,mcro_hasDataset,mcro_ChatGLM2-6B-Dataset
mcro_sdxl10refinermodel-ModelDetail,mcro_hasLicense,mcro_sdxl10refinermodel-License
mcro_owlvitbasepatch32-UseCase,mcro_hasUser,mcro_owlvitbasepatch32-User
mcro_eng-zho,mcro_hasModelArchitecture,mcro_eng-zho-ModelArchitecture
mcro_googleflant5small-ModelDetail,mcro_hasModelArchitecture,mcro_googleflant5small-ModelArchitecture
mcro_petalsteamStableBeluga2,mcro_hasUseCase,mcro_petalsteamStableBeluga2-UseCase
mcro_llama4Scout17B16EInstruct-ModelDetail,mcro_hasModelArchitecture,mcro_llama4Scout17B16EInstruct-ModelArchitecture
mcro_obideidrobertai2b2-ModelDetail,mcro_hasCitation,mcro_obideidrobertai2b2-Citation
mcro_deepseekaiDeepSeekR1DistillQwen14B,mcro_hasModelArchitecture,mcro_deepseekaiDeepSeekR1DistillQwen14B-ModelArchitecture
mcro_openbmbMiniCPMo26,mcro_hasModelArchitecture,mcro_openbmbMiniCPMo26-ModelArchitectureInformationSection
mcro_pyannotespeakerdiarization30-ModelDetail,mcro_hasModelArchitecture,mcro_pyannotespeakerdiarization30-ModelArchitecture
mcro_segformerb0finetunedade20k,mcro_hasCitation,mcro_segformerb0finetunedade20k-Citation
mcro_visiontransformerbasesizedmodel,mcro_hasModelArchitecture,mcro_visiontransformerbasesizedmodel-ModelArchitectureInformationSection
mcro_facebookwav2vec2base960h,mcro_hasUseCase,mcro_facebookwav2vec2base960h-UseCase
mcro_debertaV3Small,mcro_hasDataset,mcro_debertaV3Small-DatasetInformationSection
mcro_opusmtruen-ModelDetail,mcro_hasCitation,mcro_opusmtruen-Citation
mcro_unslothDeepSeekR10528Qwen38BGGUF,mcro_hasLicense,mcro_unslothDeepSeekR10528Qwen38BGGUF-LicenseInformationSection
mcro_segformerb1finetunedade20k,mcro_hasIntendedUseCase,mcro_segformerb1finetunedade20k-IntendedUseCase
mcro_sentencetransformersdistilusebasemultilingualcasedv2,mcro_hasModelArchitecture,mcro_sentencetransformersdistilusebasemultilingualcasedv2-ModelArchitecture
mcro_vit_base_patch16_224.augreg2_in21k_ft_in1k,mcro_hasUseCase,mcro_vit_base_patch16_224.augreg2_in21k_ft_in1k-UseCase
mcro_GIT,mcro_hasTrainingData,mcro_GIT-TrainingData
mcro_rorshark-vit-base-ModelDetail,mcro_hasModelArchitecture,mcro_rorshark-vit-base-ModelArchitecture
mcro_gpt2medium,mcro_hasConsideration,mcro_gpt2medium-Consideration
mcro_graphcodebert,mcro_hasModelArchitecture,mcro_graphcodebert-ModelArchitectureInformationSection
mcro_wav2vec2largexlsr53espeakcvft,mcro_hasUseCase,mcro_wav2vec2largexlsr53espeakcvft-UseCase
mcro_intfloatmultilinguale5small,mcro_hasUseCase,mcro_intfloatmultilinguale5small-UseCase
mcro_metallamaMetaLlama38B,mcro_hasModelDetail,mcro_metallamaMetaLlama38B-ModelDetail
mcro_stabilityaistablediffusion35medium,mcro_hasConsideration,mcro_stabilityaistablediffusion35medium-Consideration
mcro_xlmrobertabaselanguagedetection-QuantativeAnalysis,mcro_hasPerformanceMetric,mcro_xlmrobertabaselanguagedetection-PerformanceMetric
mcro_trocrbasesroie,mcro_hasCitation,mcro_trocrbasesroie-CitationInformationSection
mcro_googlegemma31bit,mcro_hasModelArchitecture,mcro_googlegemma31bit-Arch
mcro_facebookmask2formerswintinycocoinstance,mcro_hasModelDetail,mcro_facebookmask2formerswintinycocoinstance-ModelDetail
mcro_banglat5_banglaparaphrase,mcro_hasModelArchitecture,mcro_banglat5_banglaparaphrase-ModelArchitectureInformationSection
mcro_vitmatte-model,mcro_hasModelDetail,mcro_vitmatte-model-ModelDetail
mcro_mistralaiMixtral8x7BInstructv01-ModelDetailSection,mcro_hasArchitecture,mcro_mistralaiMixtral8x7BInstructv01-ArchitectureSection
mcro_nomicainomicembedtextv1,mcro_hasTrainingData,mcro_nomicainomicembedtextv1-TrainingDataInformationSection
mcro_t5large,mcro_hasConsideration,mcro_t5large-Consideration
mcro_Salesforceblipvqacapfiltlarge,mcro_hasModelDetail,mcro_Salesforceblipvqacapfiltlarge-ModelDetail
mcro_flan-t5-base,mcro_hasModelArchitecture,mcro_flan-t5-base-ModelArchitecture
mcro_jonatasgrosmanwav2vec2largexlsr53polish,mcro_hasUseCase,mcro_jonatasgrosmanwav2vec2largexlsr53polish-UseCase
mcro_allMiniLML12v2,mcro_hasModelArchitecture,mcro_allMiniLML12v2-ModelArchitectureInformationSection
mcro_Falconsainsfwimagedetection-ModelDetail,mcro_hasModelArchitecture,mcro_Falconsainsfwimagedetection-ModelArchitecture
mcro_englishnerinflairfastmodel,mcro_hasPerformanceMetric,mcro_englishnerinflairfastmodel-PerformanceMetric
mcro_bertbasemultilingualuncasedsentiment,mcro_hasModelDetail,mcro_bertbasemultilingualuncasedsentiment-ModelDetail
mcro_sentencetransformersdistilbertbasenlimeantokens,mcro_hasCitation,mcro_sentencetransformersdistilbertbasenlimeantokens-CitationInformationSection
mcro_unslothQwen2505BInstructbnb4bit,mcro_hasIntendedUseCase,mcro_unslothQwen2505BInstructbnb4bit-IntendedUseCase
mcro_Salesforceblip2opt27b,mcro_hasModelDetail,mcro_Salesforceblip2opt27b-ModelDetail
mcro_Qwen317B,mcro_hasCitation,mcro_Qwen317B-Citation
mcro_opusmtnlen,mcro_hasDataset,mcro_opusmtnlen-DatasetInformationSection
mcro_EleutherAIpythia70mdeduped-ModelDetail,mcro_hasArchitecture,mcro_EleutherAIpythia70mdeduped-Architecture
mcro_jonatasgrosmanwav2vec2largexlsr53polish,mcro_hasCitation,mcro_jonatasgrosmanwav2vec2largexlsr53polish-Citation
mcro_faceparsing,mcro_hasModelDetail,mcro_faceparsing-ModelDetail
mcro_vitbasepatch32clip448laion2bftin12kin1k,mcro_hasModelDetail,mcro_vitbasepatch32clip448laion2bftin12kin1k-ModelDetail
mcro_MyAwesomeModel,mcro_hasLicense,mcro_MyAwesomeModel-License
mcro_FinetunedT5SmallTextSummarization-ModelDetail,mcro_hasModelArchitecture,mcro_FinetunedT5SmallTextSummarization-ModelArchitecture
mcro_answerdotaiModernBERTbase-ModelDetail,mcro_hasCitation,mcro_answerdotaiModernBERTbase-Citation
mcro_Qwen2VL2BInstruct,mcro_hasUseCase,mcro_Qwen2VL2BInstruct-UseCase
mcro_layoutlmv3,mcro_hasLicense,mcro_layoutlmv3-LicenseInformationSection
mcro_bertbasemultilingualuncasedsentiment-ModelDetail,mcro_hasQuantativeAnalysis,mcro_bertbasemultilingualuncasedsentiment-QuantativeAnalysis
mcro_tabletransformerpretrainedfortablestructurerecognition,mcro_hasModelArchitecture,mcro_tabletransformerpretrainedfortablestructurerecognition-ModelArchitecture
mcro_clip-ModelDetail,mcro_hasModelArchitecture,mcro_clip-ModelArchitecture
mcro_crossencodernlidebertav3base,mcro_hasModelDetail,mcro_crossencodernlidebertav3base-ModelDetail
mcro_bert-base-uncased,mcro_hasLicense,mcro_bert-base-uncased-License
mcro_oliverguhrfullstoppunctuationmultilanglarge,mcro_hasDataset,mcro_oliverguhrfullstoppunctuationmultilanglarge-Dataset
mcro_Stablediffusionsafetychecker,mcro_hasModelDetail,mcro_Stablediffusionsafetychecker-ModelDetail
mcro_trpakovvitfaceexpression,mcro_hasDataset,mcro_trpakovvitfaceexpression-Dataset
mcro_chronosbolttiny,mcro_hasUseCase,mcro_chronosbolttiny-UseCase
mcro_e5-base-v2,mcro_hasModelArchitecture,mcro_e5-base-v2-ModelArchitecture
mcro_nomicainomicembedtextv1,mcro_hasUseCase,mcro_nomicainomicembedtextv1-UseCaseInformationSection
mcro_sat-3l-sm,mcro_hasModelArchitecture,mcro_sat-3l-sm-ModelArchitectureInformationSection
mcro_microsoftPhi3mini128kinstruct,mcro_hasDataset,mcro_microsoftPhi3mini128kinstruct-Dataset
mcro_patrickjohncyhfashionclip,mcro_hasUseCase,mcro_patrickjohncyhfashionclip-UseCase
mcro_longformerbase4096,mcro_hasCitation,mcro_longformerbase4096-CitationInformationSection
mcro_wavlmbaseplus,mcro_hasDataset,mcro_wavlmbaseplus-Dataset
mcro_QwenQwen25VL3BInstruct,mcro_hasCitation,mcro_QwenQwen25VL3BInstruct-Citation
mcro_sentencetransformersdistilusebasemultilingualcasedv2,mcro_hasCitation,mcro_sentencetransformersdistilusebasemultilingualcasedv2-Citation
mcro_mixedbreadaimxbaiembedlargev1,mcro_hasModelArchitecture,mcro_mixedbreadaimxbaiembedlargev1-ModelArchitectureInformationSection
mcro_HuggingFaceH4zephyr7bbeta,mcro_hasDataset,mcro_HuggingFaceH4zephyr7bbeta-Dataset
mcro_gemma2,mcro_hasModelDetail,mcro_gemma2-ModelDetail
mcro_VitTinyVitSmall,mcro_hasModelArchitecture,mcro_VitTinyVitSmall-ModelArchitecture
mcro_mistralaiMistral7BInstructv03,mcro_hasModelDetail,mcro_mistralaiMistral7BInstructv03-ModelDetail
mcro_stablediffusionv2-1-ModelDetail,mcro_hasLicense,mcro_stablediffusionv2-1-License
mcro_chronosbolttiny,mcro_hasLicense,mcro_chronosbolttiny-License
mcro_sentencetransformersstsbxlmrmultilingual,mcro_hasCitation,mcro_sentencetransformersstsbxlmrmultilingual-CitationInformationSection
mcro_ruri-small-v2,mcro_hasCitation,mcro_ruri-small-v2-ReferenceInformationSection
mcro_e5largev2,mcro_hasUseCase,mcro_e5largev2-UseCaseInformationSection
mcro_flairnerfrench,mcro_hasModelDetail,mcro_flairnerfrench-ModelDetail
mcro_distilgpt2,mcro_hasUseCase,mcro_distilgpt2-UseCase
mcro_blackforestlabsFLUX1dev,mcro_hasLimitation,mcro_blackforestlabsFLUX1dev-Limitation
mcro_HuggingFaceH4zephyr7bbeta,mcro_hasModelArchitecture,mcro_HuggingFaceH4zephyr7bbeta-ModelArchitecture
mcro_Whisperlargev2modelforCTranslate2,mcro_hasUseCase,mcro_Whisperlargev2modelforCTranslate2-UseCaseInformationSection
mcro_stablediffusioninpaintingmodelcard-ModelDetailSection,mcro_hasCitation,mcro_stablediffusioninpaintingmodelcard-CitationInformationSection
mcro_flan-t5-large,mcro_hasModelDetail,mcro_flan-t5-large-ModelDetail
mcro_testmodel,mcro_hasDataset,mcro_testmodel-DatasetInformationSection
mcro_metaLlama32Collection-ModelDetailSection,mcro_hasModelArchitecture,mcro_metaLlama32Collection-ModelArchitectureInformationSection
mcro_t5small-ModelDetail,mcro_hasCitation,mcro_t5small-Citation
mcro_conjunctsditre15,mcro_hasUseCase,mcro_conjunctsditre15-UseCase
mcro_byt5small-ModelDetail,mcro_hasCitation,mcro_byt5small-Citation
mcro_UFNLPgatortronbase,mcro_hasModelArchitecture,mcro_UFNLPgatortronbase-ModelArchitecture
